"","Local","NonLocal"
"rowSums.vegan_air2..1",0.189955913360169,0.109641556450067
"rowSums.vegan_air2..2",0.156185919343814,0.196855775803144
"rowSums.vegan_air2..3",0.0183932396212502,0.260858624281651
"rowSums.vegan_air2..4",0.023547828952789,0.186528796242894
"rowSums.vegan_air2..5",0.00441501103752759,0.033112582781457
"rowSums.vegan_air2..6",0.0271416454622561,0.0407124681933842
